section,text,sub_section,decade
Science and technology,"Science
March 17, 1905 – Annus Mirabilis papers – Albert Einstein publishes his paper ""On a heuristic viewpoint concerning the production and transformation of light"", in which he explains the photoelectric effect, using the notion of light quanta. For this paper Einstein received the Nobel Prize for Physics in 1921.
May 11, 1905 – Annus Mirabilis papers – Albert Einstein submits his doctoral dissertation ""On the Motion of Small Particles..."", in which he explains Brownian motion.
June 30, 1905 – Annus Mirabilis papers – Albert Einstein publishes the article ""On the Electrodynamics of Moving Bodies"", where he reveals his theory of special relativity.
September 27, 1905 – Annus Mirabilis papers – Albert Einstein submits his paper ""Does the Inertia of a Body Depend Upon Its Energy Content?"", in which he develops an argument for the famous equation E = mc2.
Planck's law of black-body radiation
Seismographs built in the University of California, Berkeley, in 1900
Practical air conditioner designed by Willis Carrier in 1902
Geiger counter (measures radioactivity)  invented by Hans Geiger in 1908
Pierre and Marie Curie discover radium and polonium, they coin the term 'radioactivity'.
Third law of thermodynamics by Walther Nernst
Quantum Hypothesis by Max Planck in 1900
The Bacillus Calmette-Guérin (BCG) immunization for tuberculosis is first developed.

",Science,1900s (decade)
Science and technology,"Technology
Widespread application of the internal combustion engine including mass production of the automobile. Rudolf Diesel demonstrated the diesel engine in the 1900 Exposition Universelle (World's Fair) in Paris using peanut oil fuel (see biodiesel). The Diesel engine takes the Grand Prix. The exposition was attended by 50 million people. The same year Wilhelm Maybach designed an engine built at Daimler Motoren Gesellschaft—following the specifications of Emil Jellinek—who required the engine to be named Daimler-Mercedes after his daughter, Mercédès Jellinek. In 1902, the Mercedes 35 hp automobiles with that engine were put into production by DMG.
Wide popularity of home phonograph. ""The market for home machines was created through technological innovation and pricing: Phonographs, gramophones, and graphophones were cleverly adapted to run by spring-motors (you wound them up), rather than by messy batteries or treadle mechanisms, while the musical records were adapted to reproduce loudly through a horn attachment. The cheap home machines sold as the $10 Eagle graphophone and the $40 (later $30) Home phonograph in 1896, the $20 Zon-o-phone in 1898, the $3 Victor Toy in 1900, and so on. Records sold because their fidelity improved, mass production processes were soon developed, advertising worked, and prices dropped from one and two dollars to around 35 cents."". In 1907, a Victor Records recording of Enrico Caruso singing Ruggero Leoncavallo's ""Vesti la giubba"" becomes the first to sell a million copies.
1899–1900 – Thomas Alva Edison of Milan, Ohio, invents the nickel-alkaline storage battery. On May 27, 1901, Edison establishes the Edison Storage Battery Company to develop and manufacture them. ""It proved to be Edison's most difficult project, taking ten years to develop a practical alkaline battery. By the time Edison introduced his new alkaline battery, the gasoline powered car had so improved that electric vehicles were becoming increasingly less common, being used mainly as delivery vehicles in cities. However, the Edison alkaline battery proved useful for lighting railway cars and signals, maritime buoys, and miners lamps. Unlike iron ore mining with the Edison Ore-Milling Company, the heavy investment Edison made over ten years was repaid handsomely, and the storage battery eventually became Edison's most profitable product. Further, Edison's work paved the way for the modern alkaline battery.""
1900 – The Brownie camera is invented; this was the beginning of the Eastman Kodak company. The Brownie popularized low-cost photography and introduced the concept of the snapshot. The first Brownie was introduced in February 1900,
1900 – The first zeppelin flight occurs over Lake Constance near Friedrichshafen, Germany on July 2, 1900.
1901 – First electric typewriter is invented by George Canfield Blickensderfer of Erie, Pennsylvania. It was part of a line of Blickensderfer typewriters, known for its portability.
1901 – Wilhelm Kress of Saint Petersburg, Russia creates his Kress Drachenflieger in Austria-Hungary.  Power was provided by a Daimler petrol engine driving two large auger-style two-bladed propellers, the first attempt to use an internal combustion engine to power a heavier-than-air aircraft. 
1901 – Gustave Whitehead allegedly flies his Whitehead No. 21 on August 14, 1901, near Bridgeport, Connecticut.  The feat, if true, exceeded the best of the Wright brothers first powered flights by 540 m (1770 ft) and preceded the Kitty Hawk flights by more than two years, but is not accepted by most aviation historians
1901 – The first radio receiver (successfully received a radio transmission). This receiver was developed by Guglielmo Marconi.  Marconi established a wireless transmitting station at Marconi House, Rosslare Strand, County Wexford, Ireland in 1901 to act as a link between Poldhu in Cornwall and Clifden in County Galway.  He soon made the announcement that on 12 December 1901, using a 152.4-meter (500 ft) kite-supported antenna for reception, the message was received at Signal Hill in St John's, Newfoundland (now part of Canada), signals transmitted by the company's new high-power station at Poldhu, Cornwall. The distance between the two points was about 3,500 kilometers (2,200 mi). Heralded as a great scientific advance, there was—and continues to be—some skepticism about this claim, partly because the signals had been heard faintly and sporadically. There was no independent confirmation of the reported reception, and the transmissions, consisting of the Morse code letter S sent repeatedly, were difficult to distinguish from atmospheric noise. (A detailed technical review of Marconi's early transatlantic work appears in John S. Belrose's work of 1995.) The Poldhu transmitter was a two-stage circuit. The first stage operated at a lower voltage and provided the energy for the second stage to spark at a higher voltage.
1902 – Willis Carrier of Angola, New York, invented the first indoor air conditioning. ""He designed his spray driven air conditioning system which controlled both temperature and humidity using a nozzle originally designed to spray insecticide. He built his ""Apparatus for Treating Air"" (U.S. Pat. #808897) which was patented in 1906 and using chilled coils which not only controlled heat but could lower the humidity to as low as 55%. The device was even able to adjust the humidity level to the desired setting creating what would become the framework for the modern air conditioner. By adjusting the air movement and temperature level to the refrigeration coils he was able to determine the size and capacity of the unit to match the need of his customers. While Carrier was not the first to design a system like this his was much more stable, successful and safer than other versions and took air conditioning out of the Dark Ages and into the realm of science.""
1902/1906/1908 – Sir James Mackenzie of Scone, Scotland invented an early lie detector or polygraph. MacKenzie's polygraph ""could be used to monitor the cardiovascular responses of his patients by taking their pulse and blood pressure. He had developed an early version of his device in the 1890s, but had Sebastian Shaw, a Lancashire watchmaker, improve it further. ""This instrument used a clockwork mechanism for the paper-rolling and time-marker movements and it produced ink recordings of physiological functions that were easier to acquire and to interpret. It has been written that the modern polygraph is really a modification of Dr. Mackenzie's clinical ink polygraph."" A more modern and effective polygraph machine would be invented by John Larson in 1921.
1902 – Georges Claude invented the neon lamp. He applied an electrical discharge to a sealed tube of neon gas, resulting in a red glow. Claudes started working on neon tubes which could be put to use as ordinary light bulbs. His first public display of a neon lamp took place on December 11, 1910, in Paris. In 1912, Claude's associate began selling neon discharge tubes as advertising signs. They were introduced to U.S. in 1923 when two large neon signs were bought by a Los Angeles Packard car dealership. The glow and arresting red color made neon advertising completely different from the competition.
1902 – Gustave Whitehead claimed two spectacular flights on January 17, 1902, in his improved Number 22. As with his earlier claims, most aviation historians do not believe these flights took place.
1902 – Teasmade, a device for making tea automatically, is patented on 7 April 1902 by gunsmith Frank Clarke of Birmingham, England. He called it ""An Apparatus Whereby a Cup of Tea or Coffee is Automatically Made"" and it was later marketed as ""A Clock That Makes Tea!"". However, his original machine and all rights to it had been purchased from its actual inventor Albert E. Richardson, a clockmaker from Ashton-under-Lyne. The device was commercially available by 1904.
1902 – Lyman Gilmore of Washington, United States is awarded a patent for a steam engine, intended for use in aerial vehicles. At the time he was living in Red Bluff, California. At a later date, Gilmore claimed to have incorporated his engine in ""a monoplane with a 32 foot wingspan"". Performing his debut flight in May 1902. While occasionally credited with the first powered flight in aviation history, there is no supporting evidence for his account. While Gilmore was probably working on aeronautical experiments since the late 1890s and reportedly had correspondence with Samuel Pierpont Langley, there exists no photo of his creations earlier than 1908.
1902 – The Wright brothers of Ohio, United States create the 1902 version of the Wright Glider. It was the third free-flight glider built by them and tested at Kitty Hawk, North Carolina. This was the first of the brothers' gliders to incorporate yaw control, and its design led directly to the 1903 Wright Flyer. The brothers designed the 1902 glider during the winter of 1901–1902 at their home in Dayton, Ohio. They designed the wing based on data from extensive airfoil tests conducted on a homemade wind tunnel. They built many of the components of the glider in Dayton, but they completed assembly at their Kitty Hawk camp in September 1902. They began testing on September 19. Over the next five weeks, they made between 700 and 1000 glide flights (as estimated by the brothers, who did not keep detailed records of these tests). The longest of these was 622.5 ft (189.7 m) in 26 seconds. ""In its final form, the 1902 Wright glider was the world's first fully controllable aircraft.""
1903 – Ford Motor Company produces its first car – the Ford Model A.
1903 – Richard Pearse of New Zealand supposedly successfully flew and landed a powered heavier-than-air machine on 31 March 1903 Verifiable eyewitnesses describe Pearse crashing into a hedge on two separate occasions during 1903. His monoplane must have risen to a height of at least three metres on each occasion. Good evidence exists that on 31 March 1903 Pearse achieved a powered, though poorly controlled, flight of several hundred metres. Pearse himself said that he had made a powered takeoff, ""but at too low a speed for [his] controls to work"". However, he remained airborne until he crashed into the hedge at the end of the field.
1903 – Karl Jatho of Germany performs a series of flights at Vahrenwalder Heide, near Hanover, between August and November, 1903. Using first a pusher triplane, then a biplane. ""His longest flight, however, was only 60 meters at 3–4 meters altitude."" He then quit his efforts, noting his motor was too weak to make longer or higher flights. The plane was equipped with a single-cylinder 10 horsepower (7.5 kW) Buchet engine driving a two-bladed pusher propeller and made hops of up to 200 ft (60 m), flying up to 10 ft (3 m) high. In comparison, Orville Wright's first controlled flight four months later was of 36 m (120 ft) in 12 seconds although Wilbur flew 59 seconds and 852 ft (260 m) later that same day. Either way Jatho managed to fly a powered heavier-than-air machine earlier than his American counterparts.
1903 – Mary Anderson invented windshield wipers. In November 1903 Anderson was granted her first patent for an automatic car window cleaning device controlled inside the car, called the windshield wiper. Her device consisted of a lever and a swinging arm with a rubber blade. The lever could be operated from inside a vehicle to cause the spring-loaded arm to move back and forth across the windshield. Similar devices had been made earlier, but Anderson's was the first to be effective.
1903 – The Wright brothers fly at Kitty Hawk, North Carolina. Their airplane, the Wright Flyer, performed the first recorded controlled, powered, sustained heavier than air flight on December 17, 1903. In the day's fourth flight, Wilbur Wright flew 279 meters (852 ft) in 59 seconds. First three flights were approximately 120, 175, and 200 ft (61 m), respectively. The Wrights laid particular stress on fully and accurately describing all the requirements for controlled, powered flight and put them into use in an aircraft which took off from a level launching rail, with the aid of a headwind to achieve sufficient airspeed before reaching the end of the rail. It is one of the various candidates regarded as the First flying machine.
1904 – SS Haimun sends its first news story on 15 March 1904. It was a Chinese steamer ship commanded by war correspondent Lionel James in 1904 during the Russo-Japanese War for The Times. It is the first known instance of a ""press boat"" dedicated to war correspondence during naval battles. The recent advent of wireless telegraphy meant that reporters were no longer limited to submitting their stories from land-based offices, and The Times spent 74 days outfitting and equipping the ship, installing a De Forest transmitter aboard the ship.
1904–1914 – The Panama Canal constructed by the United States in the territory of Panama, which had just gained independence from Colombia. The Canal is a 77 km (48 mi) ship canal that joins the Atlantic Ocean and the Pacific Ocean and a key conduit for international maritime trade. One of the largest and most difficult engineering projects ever undertaken, the canal had an enormous impact on shipping between the two oceans, replacing the long and treacherous route via the Drake Passage and Cape Horn at the southernmost tip of South America. A ship sailing from New York to San Francisco via the canal travels 9,500 km (5,900 mi), well under half the 22,500 km (14,000 mi) route around Cape Horn. The project starts on May 4, 1904, known as Acquisition Day. The United States government purchased all Canal properties on the Isthmus of Panama from the New Panama Canal Company, except the Panama Railroad. The project begun under the administration of Theodore Roosevelt, continued in that of William Howard Taft and completed in that of Woodrow Wilson. The Chief engineers were John Frank Stevens and George Washington Goethals
1904 – The Welte-Mignon reproducing piano is created by Edwin Welte and Karl Bockisch. Both employed by the ""Michael Welte und Söhne"" firm of Freiburg im Breisgau, Germany. ""It automatically replayed the tempo, phrasing, dynamics and pedalling of a particular performance, and not just the notes of the music, as was the case with other player pianos of the time."" In September, 1904, the Mignon was demonstrated in the Leipzig Trade Fair. In March, 1905 it became better known when showcased ""at the showrooms of Hugo Popper, a manufacturer of roll-operated orchestrions"". By 1906, the Mignon was also exported to the United States, installed to pianos by the firms Feurich and Steinway & Sons.
1904 – Benjamin Holt of the Holt Manufacturing Company invents one of the first practical continuous tracks for use in tractors. While the date of invention was reportedly November 24, 1904, Holt would not receive a patent until December, 1907.
1905 – John Joseph Montgomery of California, United States designs tandem-wing gliders. His pilot Daniel Maloney performs a number of public exhibitions of high altitude flights in March and April 1905 in the Santa Clara, California, area. These flights received national media attention and demonstrated superior control of the design, with launches as high as 4,000 feet (1,200 m) and landings made at predetermined locations. The gliders were launched from balloons.
1905 – The Wright Brothers introduce their Wright Flyer III. On October 5, 1905, Wilbur flew 24 miles (39 km) in 39 minutes 23 seconds, longer than the total duration of all the flights of 1903 and 1904. Ending with a safe landing when the fuel ran out. The flight was seen by a number of people, including several invited friends, their father Milton, and neighboring farmers. Four days later, they wrote to the United States Secretary of War William Howard Taft, offering to sell the world's first practical fixed-wing aircraft.
1906 – The Gabel Automatic Entertainer,  an early jukebox-like machine, is invented by John Gabel. It is the first such device to play a series of gramophone records. ""The Automatic Entertainer with 24 selections, was produced and patented by the John Gabel owned company in Chicago. The first model (constructed in 1905) was produced in 1906 with an exposed 40 inch horn (102 cm) on top, and it is today often considered the real father of the modern multi-selection disc-playing phonographs. John Gabel and his company did in fact receive a special prize at the Pan-Pacific Exposition for the Automatic Entertainer.""
1906 – The Victor Talking Machine Company releases the Victrola, the most popular gramophone model until the late 1920s. The Victrola is also the first playback machine containing an internal horn. Victor also erects the world's largest illuminated billboard at the time, on Broadway in New York City, to advertise the company's records.
1906 – Traian Vuia of Romania takes off with his ""Traian Vuia 1"", an early monoplane. His flight was performed in Montesson near Paris and was about 12 meters long.
1906 – Jacob Ellehammer of Denmark constructs the Ellehammer semi-biplane. In this machine, he made a tethered flight on 12 September 1906, becoming the second European to make a powered flight.
1906 – Alberto Santos-Dumont and his Santos-Dumont 14-bis make the first public flight of an airplane on October 23, 1906, in Paris. The flying machine was the first fixed-wing aircraft officially witnessed to take off, fly, and land. Santos Dumont is considered the ""Father of Aviation"" in his country of birth, Brazil. His flight is the first to have been certified by the Aéro-Club de France and the Fédération Aéronautique Internationale (FAI). On November 12, 1906, Santos Dumont succeeded in setting the first world record recognized by the Aero-Club De France by flying 220 metres in less than 22 seconds.
1906 – Sound radio broadcasting was invented by Reginald Fessenden and Lee De Forest. Fessenden and Ernst Alexanderson developed a high-frequency alternator-transmitters, an improvement on an already existing device. The improved model operated at a transmitting frequency of approximately 50 kHz, although with far less power than Fessenden's rotary-spark transmitters. The alternator-transmitter achieved the goal of transmitting quality audio signals, but the lack of any way to amplify the signals meant they were somewhat weak. On December 21, 1906, Fessenden made an extensive demonstration of the new alternator-transmitter at Brant Rock, showing its utility for point-to-point wireless telephony, including interconnecting his stations to the wire telephone network.  A detailed review of this demonstration appeared in The American Telephone Journal. Meanwhile, De Forest had developed the Audion tube an electronic amplifier device. He received a patent in January, 1907. ""DeForest's audion vacuum tube was the key component of all radio, telephone, radar, television, and computer systems before the invention of the transistor in 1947.""
1906 – Reginald Fessenden of East Bolton, Quebec, Canada made what appear to be the first audio radio broadcasts of entertainment and music ever made to a general audience. (Beginning in 1904, the United States Navy had broadcast daily time signals and weather reports, but these employed spark-gap transmitters, transmitting in Morse code). On the evening of December 24, 1906 (Christmas Eve), Fessenden used the alternator-transmitter to send out a short program from Brant Rock, Plymouth County, Massachusetts. It included a phonograph record of Ombra mai fù (Largo) by George Frideric Handel, followed by Fessenden himself playing the song O Holy Night on the violin. Finishing with reading a passage from the Bible: 'Glory to God in the highest and on earth peace to men of good will' (Gospel of Luke 2:14). On December 31, New Year's Eve, a second short program was broadcast. The main audience for both these transmissions was an unknown number of shipboard radio operators along the East Coast of the United States. Fessenden claimed that the Christmas Eve broadcast had been heard ""as far down"" as Norfolk, Virginia, while the New Year Eve's broadcast had reached places in the Caribbean. Although now seen as a landmark, these two broadcasts were barely noticed at the time and soon forgotten— the only first-hand account appears to be a letter Fessenden wrote on January 29, 1932, to his former associate, Samuel M. Kinter.
1907 – The Autochrome Lumière which was patented in 1903 becomes the first commercial color photography process.
1907 – Thomas Edison invented the ""Universal Electric Motor"" which made it possible to operate dictation machines, etc. on all lighting circuits.
1907 – The Photostat machine begins the modern era of document imaging. The Photostat machine was invented in Kansas City, Kansas, United States by Oscar Gregory in 1907, and the Photostat Corporation was incorporated in Rhode Island in 1911. ""Rectigraph and Photostat machines (Plates 40–42) combined a large camera and a developing machine and used sensitized paper furnished in 350-foot rolls. ""The prints are made direct on sensitized paper, no negative, plate or film intervening. The usual exposure is ten seconds. After the exposure has been made the paper is cut off and carried underneath the exposure chamber to the developing bath, where it remains for 35 seconds, and is then drawn into a fixing bath. While one print is being developed or fixed, another exposure can be made. When the copies are removed from the fixing bath, they are allowed to dry by exposure to the air, or may be run through a drying machine. The first print taken from the original is a 'black' print; the whites in the original are black and the blacks, white. (Plate 43) A white 'positive' print of the original is made by rephotographing the black print. As many positives as required may be made by continuing to photograph the black print."" (The American Digest of Business Machines, 1924.) Du Pont Co. files include black prints of graphs dating from 1909, and the company acquired a Photostat machine in 1912. ... A 1914 Rectigraph ad stated that the U.S. government had been using Rectigraphs for four years and stated that the machines were being used by insurance companies and abstract and title companies. ... In 1911, a Photostat machine was $500.""
1908 – Henry Ford of the Ford Motor Company introduces the Ford Model T. The first production Model T was built on September 27, 1908, at the Ford Piquette Avenue Plant in Detroit. It is generally regarded as the first affordable automobile, the car that ""put America on wheels""; some of this was because of Ford's innovations, including assembly line production instead of individual hand crafting, as well as the concept of paying the workers a wage proportionate to the cost of the car, so that they would provide a ready made market.
1909 – Leo Baekeland of Sint-Martens-Latem, Belgium officially announces his creation of Bakelite. The announcement was made at the February 1909 meeting of the New York section of the American Chemical Society. Bakelite is an inexpensive, nonflammable, versatile, and popular plastic.

",Technology,1900s (decade)
Popular culture,"Literature and art
L. Frank Baum publishes The Wonderful Wizard of Oz in 1900.
Thomas Mann publishes Buddenbrooks in 1901.
Sir Arthur Conan Doyle publishes The Hound of the Baskervilles, serialized in The Strand Magazine 1901–1902
Theodor Herzl, the founder of political Zionism, publishes The Old New Land in 1902 outlining Herzl's vision for a Jewish state in the Land of Israel.
Joseph Conrad publishes the novella Heart of Darkness in 1902, after the serial release in 1898.
Jack London publishes The Call of the Wild in 1903
Winsor McCay's comic strip Little Nemo begins October 15, 1905
George Bernard Shaw's play Man and Superman opens 23 May 1905, but omits the third act, ""Don Juan in Hell"", which is not performed until 1915.
Upton Sinclair publishes The Jungle in 1906
Joseph Conrad publishes The Secret Agent in 1907
Lucy Maud Montgomery publishes Anne of Green Gables in 1908
Kenneth Grahame publishes The Wind in the Willows in 1908
Serbian writers use the Belgrade literary style, an Ekavian writing form which set basis for the later standardization of the Serbian language
Pablo Picasso paints Les Demoiselles d'Avignon, considered by some to be the birth of modern art.
Art Nouveau art movement peaked in popularity at the turn of the 20th century (1890–1905).
Cubism art movement peaked in popularity in France between 1907 and 1911.
Fauvism art movement peaked in popularity between 1905 and 1907.

",Literature and art,1900s (decade)
Popular culture,"Film
April 2, 1902 – Electric Theatre, the first movie theater in the United States, opens in Los Angeles.
The first huge success of American cinema, as well as the largest experimental achievement to this point, was the 1903 film The Great Train Robbery, directed by Edwin S. Porter.
The world's first feature film, The Story of the Kelly Gang is released on 26 December 1906 in Melbourne, Australia.

",Film,1900s (decade)
Popular culture,"Music
",Music,1900s (decade)
Popular culture,"Fashion
",Fashion,1900s (decade)
Popular culture,"Sports
The Tour de France starts for the first time in 1903.

",Sports,1900s (decade)
Popular culture,"Food
U.S. New Haven, Connecticut Louis Lassen of Louis' Lunch makes the first modern-day hamburger sandwich. According to family legend, one day in 1900 a local businessman dashed into the small New Haven lunch wagon and pleaded for a lunch to go. According to the Lassen family, the customer, Gary Widmore, exclaimed ""Louie! I'm in a rush, slap a meatpuck between two planks and step on it!"".  Louis Lassen, the establishment's owner, placed his own blend of ground steak trimmings between two slices of toast and sent the gentleman on his way, so the story goes, with America's alleged first hamburger being served.

",Food,1900s (decade)
People,"World leaders
1900 – 1901 – 1902 – 1903 – 1904 – 1905 – 1906 – 1907 – 1908 – 1909

",World leaders,1900s (decade)
People,"Modern artists
",Modern artists,1900s (decade)
People,"Other notable people
",Other notable people,1900s (decade)
People,"Sports figures
",Sports figures,1900s (decade)
Politics and wars,"Wars
World War I (1914–1918)
Assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo leads to the outbreak of the First World War
Germany signs the Treaty of Versailles after losing the first world war.
Armenian Genocide during and just after World War I. It was characterised by the use of massacres and deportations involving forced marches under conditions designed to lead to the death of the deportees, with the total number of Armenian deaths generally held to have been between one and one-and-a-half million.
Wadai War (1909–1911)
Italo-Turkish War (1911–1912)
First Balkan Wars (1912–1913) – two wars that took place in South-eastern Europe in 1912 and 1913.
Saudi-Ottoman War (1913)
Latvian War of Independence (1918-1920) – a military conflict in Latvia between the Republic of Latvia and the Russian SFSR.

",Wars,1910s
Politics and wars,"Internal conflicts
October Revolution in Russia results in the overthrow of capitalism and the establishment of the world's first self-proclaimed socialist state; political upheaval in Russia culminating in the establishment of the Russian SFSR and the assassination of Emperor Nicholas II and the royal family.
The Russian Revolution (1917) is the collective term for the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union.
April 13, 1919 – The Jallianwala Bagh massacre, at Amritsar in the Punjab Province of British India, sows the seeds of discontent and leads to the birth of the Indian Independence Movement.
Xinhai Revolution causes the overthrow of China's ruling Qing Dynasty, and the establishment of the Republic of China (1912-1949).
Mexican Revolution (1910–1920) Francisco I. Madero proclaims the elections of 1910 null and void, and calls for an armed revolution at 6 p.m. against the illegitimate presidency/dictatorship of Porfirio Díaz. The revolution lead to the ousting of Porfirio Díaz (who ruled from 1876 to 1880 and since 1884) six months later. The Revolution progressively becomes a civil war with multiple factions and phases, culminating with the Mexican Constitution of 1917, but combat would persist for three more years.

",Internal conflicts,1910s
Politics and wars,"Major political changes
Portugal becomes the first republican country in the century after the 5 October 1910 revolution, ending its long-standing monarchy and creating the First Portuguese Republic in 1911.
Germany abolishes its monarchy and becomes under the rule of a new elected government called the Weimar Republic.
Seventeenth Amendment to the United States Constitution is passed, causing US Senators to be directly elected rather than appointed by the state legislatures.
Federal Reserve Act is passed by United States Congress, establishing a Central Bank in the US.
George V becomes king in Britain.
Dissolution of the German colonial empire, Ottoman Empire, Austria-Hungary and the Russian Empire, reorganization of European states, territorial boundaries, and the creation of several new European states and territorial entities: Austria, Czechoslovakia, Estonia, Finland, Free City of Danzig, Hungary, Latvia, Lithuania, Poland, Saar, Ukraine, and Yugoslavia.
Fourteen Points as designed by United States President Woodrow Wilson advocates the right of all nations to self-determination.
Rise to power of the Bolsheviks in Russia under Vladimir Lenin, creating the Russian Soviet Federated Socialist Republic, the first state committed to the establishment of communism.

",Major political changes,1910s
Politics and wars,"Decolonization and independence
Easter Rising against the British in Ireland; eventually leads to Irish independence.
Several nations in Eastern Europe get their own nation state, thereby replacing major multiethnic empires.
The Republic of China is established on January 1, 1912.

",Decolonization and independence,1910s
Politics and wars,"Prominent political events
",Prominent political events,1910s
Assassinations and attempts,"Assassinations and attempts
Prominent assassinations, targeted killings, and assassination attempts include:

March 18, 1913: George I of Greece
June 11, 1913: Mahmud Şevket Pasha, Grand Vizier of the Ottoman Empire
June 28, 1914 — Archduke Franz Ferdinand of Austria-Hungary is assassinated in Sarajevo, Bosnia and Herzegovina; prompting the events that led up to the start of World War I.
July 17, 1918: Shooting of former Russian Emperor Nicholas II, his consort, their five children, and four retainers at the Ipatiev House in Yekaterinburg, Russian Soviet Federative Socialist Republic following the October Revolution of 1917, and the usurpation of power by the Bolsheviks.
April 10, 1919: Emiliano Zapata

",Assassinations and attempts,1910s
